TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,CLOSE,WAPRICE
2019-06-24,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,6252.07,100.439035,100.43001600000001,100.439035,100.43001600000001,
2019-06-25,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8442.32,100.24002,100.24002,100.24002,100.24002,
2019-06-25,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,9305.45,100.214834,100.214834,100.240063,100.240063,
2019-06-26,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8441.24,100.54999000000001,100.54999000000001,100.54999000000001,100.54999000000001,
2019-06-26,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,23093.91,100.550037,100.536823,100.55004699999999,100.549978,
2019-06-27,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8441.87,100.600031,100.600031,100.600031,100.600031,
2019-06-27,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,6390.79,100.603195,100.60000600000001,100.618897,100.60000600000001,
2019-06-28,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8450.77,100.599959,100.599959,100.599959,100.599959,
2019-06-28,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,6271.03,100.620139,100.59998399999999,100.620139,100.59998399999999,
2019-07-01,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8437.63,100.659945,100.659945,100.659945,100.659945,
2019-07-01,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,6271.74,100.65994599999999,100.65994599999999,100.668658,100.668658,
2019-07-02,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8441.23,100.950041,100.950041,100.950041,100.950041,
2019-07-02,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,6259.93,100.949614,100.949614,100.949938,100.949938,
2019-07-03,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8470.05,100.469988,100.469988,100.469988,100.469988,
2019-07-03,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,7849.9,100.466909,100.466909,100.470102,100.470102,
2019-07-04,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8436.47,100.679989,100.679989,100.679989,100.679989,
2019-07-05,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8444.55,100.689999,100.689999,100.689999,100.689999,
2019-07-05,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,6241.38,100.689998,100.681264,100.689998,100.681264,
2019-07-08,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8435.75,100.74999,100.74999,100.74999,100.74999,
2019-07-08,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,6243.0,100.750058,100.750058,100.780799,100.780799,
2019-07-09,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8441.71,100.719994,100.719994,100.719994,100.719994,
2019-07-09,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,6244.74,100.722832,100.719922,100.722832,100.719922,
2019-07-10,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8433.14,100.610035,100.610035,100.610035,100.610035,
2019-07-10,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,6248.09,100.622748,100.609995,100.622748,100.609995,
2019-07-11,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8436.36,100.789996,100.789996,100.789996,100.789996,
2019-07-11,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,6240.25,100.802104,100.78996,100.802104,100.78996,
2019-07-12,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8431.37,100.61997,100.61997,100.61997,100.61997,
2019-07-12,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,35683.34,100.60205699999999,100.60205699999999,100.620011,100.60205699999999,
2019-07-15,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8435.82,100.509964,100.509964,100.509964,100.509964,
2019-07-15,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,16698.4,100.510038,100.509943,100.517538,100.510536,
2019-07-16,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8425.79,100.510029,100.510029,100.510029,100.510029,
2019-07-16,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,16765.53,100.5248,100.50909300000001,100.5248,100.510838,
2019-07-17,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8431.38,100.489964,100.489964,100.489964,100.489964,
2019-07-17,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,153999.69,100.50064,100.486682,100.50064,100.489983,
2019-07-18,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,8435.06,100.529957,100.529957,100.529957,100.529957,
2019-07-18,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,6388.42,100.529942,100.523325,100.53031899999999,100.53031899999999,
2019-07-19,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,16706.36,100.52575999999999,100.52575999999999,100.539982,100.539722,
2019-07-22,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,16694.61,100.530029,100.52369300000001,100.530679,100.530679,
2019-07-23,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,6383.86,100.51225,100.509989,100.51225,100.509989,
2019-07-24,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,8032.35,100.610027,100.606583,100.627626,100.609852,
2019-07-25,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,16702.91,100.670339,100.670339,100.691378,100.690045,
2019-07-26,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,16690.52,100.988363,100.96731,100.988363,100.969954,
2019-07-29,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,2591.14,100.94023299999999,100.94023299999999,100.970135,100.970135,
2019-07-30,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,2586.61,100.799939,100.799939,100.807827,100.80076899999999,
2019-07-31,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,4584.92,101.250157,101.249976,101.279802,101.249976,
2019-08-01,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,6798.8,100.269992,100.26259300000001,100.269992,100.26964,
2019-08-02,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,1861.11,100.679812,100.666218,100.680403,100.680403,
2019-08-05,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,1169.28,100.777346,100.777346,100.780376,100.777346,
2019-08-06,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,36087.1,100.930006,100.89968499999999,100.93221199999999,100.93221199999999,
2019-08-07,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,56065.33,101.04000400000001,101.038569,101.06465,101.06465,
2019-08-08,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,76147.66,101.545392,101.530001,101.545392,101.530927,
2019-08-09,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,286092.52,100.95134499999999,100.95134499999999,100.960001,100.960001,
2019-08-12,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,55338.19,101.14999399999999,101.144165,101.155041,101.155041,
2019-08-13,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,57264.87,101.098246,101.087342,101.100427,101.100427,
2019-08-14,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,55413.97,101.431162,101.42022800000001,101.431162,101.426788,
2019-08-15,RPEU,ВТБ Б-1-8,RU000A0ZZH84,7,59236.92,101.26057,101.26057,101.271437,101.269811,
2019-08-16,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,77038.14,101.380049,101.37943100000001,101.405787,101.37943100000001,
2019-08-19,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,85384.03,101.633994,101.633994,101.660392,101.659977,
2019-08-20,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,87024.95,101.71072099999999,101.71072099999999,101.730704,101.73001500000001,
2019-08-21,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,36810.92,101.670039,101.645248,101.671962,101.671962,
2019-08-22,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,13721.8,101.117338,101.117338,101.139974,101.137217,
2019-08-23,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,13730.34,101.119804,101.119804,101.120028,101.120028,
2019-08-26,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,13748.89,101.096689,101.096689,101.12293000000001,101.096689,
2019-08-27,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,53593.02,101.335296,101.30890699999999,101.335296,101.30890699999999,
2019-08-28,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,64061.69,100.981459,100.96820699999999,100.981459,100.97,
2019-08-29,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,53615.19,101.578225,101.578225,101.61143100000001,101.591507,
2019-08-30,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,66074.46,101.129886,101.12185699999999,101.13000100000001,101.12853100000001,
2019-09-03,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,56532.54,101.219999,101.201097,101.22108399999999,101.219888,
2019-09-04,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,43492.12,101.179989,101.163686,101.180003,101.180003,
2019-09-05,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,32853.59,101.099986,101.080304,101.099986,101.080304,
2019-09-06,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,32854.3,101.360013,101.360013,101.391048,101.391048,
2019-09-09,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,32847.61,101.54001099999999,101.54001099999999,101.571076,101.571076,
2019-09-10,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,32897.11,101.699999,101.69876,101.699999,101.69876,
2019-09-11,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,32841.66,101.470005,101.470005,101.496354,101.496354,
2019-09-12,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,12335.26,101.269961,101.269961,101.288891,101.288891,
2019-09-13,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.15,101.63563,101.63563,101.63563,101.63563,
2019-09-13,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,31.18,101.632613,101.632613,101.632613,101.632613,
2019-09-16,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.23,101.788186,101.788186,101.788186,101.788186,
2019-09-16,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,15.79,101.799867,101.799867,101.799867,101.799867,
2019-09-17,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.36,101.481402,101.481402,101.481402,101.481402,
2019-09-17,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,10493.46,101.485248,101.48001,101.485248,101.485248,
2019-09-18,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.38,101.528552,101.528552,101.528552,101.528552,
2019-09-18,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,10479.05,101.504018,101.50004100000001,101.504018,101.50004100000001,
2019-09-19,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.25,101.515718,101.515718,101.515718,101.515718,
2019-09-19,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,94.54,101.514332,101.514332,101.540104,101.540104,
2019-09-20,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.32,101.58221400000001,101.58221400000001,101.58221400000001,101.58221400000001,
2019-09-20,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,15.82,101.59588199999999,101.59588199999999,101.59588199999999,101.59588199999999,
2019-09-23,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.38,101.519205,101.519205,101.519205,101.519205,
2019-09-23,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,15.9,101.51943299999999,101.51943299999999,101.51943299999999,101.51943299999999,
2019-09-24,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.44,101.4784,101.4784,101.4784,101.4784,
2019-09-24,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,15.87,101.48119100000001,101.48119100000001,101.48119100000001,101.48119100000001,
2019-09-25,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.5,101.527985,101.527985,101.527985,101.527985,
2019-09-25,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,11998.4,101.509839,101.48365799999999,101.511356,101.509976,
2019-09-26,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.38,101.50381800000001,101.50381800000001,101.50381800000001,101.50381800000001,
2019-09-26,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,11622.63,101.500345,101.480121,101.500345,101.500028,
2019-09-27,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.43,101.56324599999999,101.56324599999999,101.56324599999999,101.56324599999999,
2019-09-27,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,1169.13,101.570139,101.570139,101.57630400000001,101.57630400000001,
2019-09-30,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.45,101.606765,101.606765,101.606765,101.606765,
2019-09-30,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,20997.43,101.61999,101.61958,101.647817,101.61958,
2019-10-01,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.38,101.69090200000001,101.69090200000001,101.69090200000001,101.69090200000001,
2019-10-01,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,1164.25,101.700187,101.67982099999999,101.700187,101.67982099999999,
2019-10-02,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.38,101.874966,101.874966,101.874966,101.874966,
2019-10-02,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,31.3,101.82985500000001,101.82985500000001,101.82985500000001,101.82985500000001,
2019-10-03,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.22,101.62593199999999,101.62593199999999,101.62593199999999,101.62593199999999,
2019-10-03,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,19770.05,101.630782,101.628165,101.630782,101.628165,
2019-10-04,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.28,101.815115,101.815115,101.815115,101.815115,
2019-10-04,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,39227.19,101.829994,101.800066,101.829994,101.800066,
2019-10-07,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.28,101.889085,101.889085,101.889085,101.889085,
2019-10-07,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,39194.03,101.870002,101.870002,101.90201,101.90201,
2019-10-08,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.32,101.88164499999999,101.88164499999999,101.88164499999999,101.88164499999999,
2019-10-08,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,39187.53,101.89999300000001,101.89999300000001,101.906315,101.906315,
2019-10-09,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.3,101.869196,101.869196,101.869196,101.869196,
2019-10-09,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,39209.71,101.906371,101.899999,101.906371,101.906371,
2019-10-10,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.26,101.889269,101.889269,101.889269,101.889269,
2019-10-10,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,39180.5,101.89999,101.87774399999999,101.89999,101.87774399999999,
2019-10-11,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.29,101.887557,101.887557,101.887557,101.887557,
2019-10-11,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,39171.76,101.890013,101.890013,101.890013,101.890013,
2019-10-14,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.4,101.850624,101.850624,101.850624,101.850624,
2019-10-15,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.31,101.50154599999999,101.50154599999999,101.50154599999999,101.50154599999999,
2019-10-15,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,39155.4,101.500006,101.500006,101.500006,101.500006,
2019-10-16,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.37,101.80757,101.80757,101.80757,101.80757,
2019-10-16,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,39156.18,101.820013,101.820013,101.820013,101.820013,
2019-10-17,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.37,102.099281,102.099281,102.099281,102.099281,
2019-10-17,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,18892.6,102.070008,102.070008,102.070008,102.070008,
2019-10-18,RPEO,ВТБ Б-1-8,RU000A0ZZH84,2,1002.67,101.559838,101.532094,101.559838,101.532094,
2019-10-21,RPEO,ВТБ Б-1-8,RU000A0ZZH84,2,28.68,102.000277,102.000277,102.000277,102.000277,
2019-10-22,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.34,102.05720600000001,102.05720600000001,102.05720600000001,102.05720600000001,
2019-10-23,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.43,102.33698299999999,102.33698299999999,102.33698299999999,102.33698299999999,
2019-10-24,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.45,102.54355799999999,102.54355799999999,102.54355799999999,102.54355799999999,
2019-10-24,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,37633.69,102.519989,102.519989,102.519989,102.519989,
2019-10-25,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.39,102.37046,102.37046,102.37046,102.37046,
2019-10-25,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,38649.24,102.370002,102.369576,102.370002,102.369576,
2019-10-28,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.39,102.340817,102.340817,102.340817,102.340817,
2019-10-28,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,38016.58,102.310011,102.30923100000001,102.310011,102.30923100000001,
2019-10-29,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.05,99.527671,99.527671,99.527671,99.527671,
2019-10-29,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,57406.84,99.50946,99.499994,99.50946,99.499994,
2019-10-30,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,504.9,102.100734,102.100734,102.100734,102.100734,
2019-10-30,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,124441.98,102.1312,102.09999300000001,102.1312,102.09999300000001,
2019-10-31,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,504.48,102.349047,102.349047,102.349047,102.349047,
2019-10-31,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,76802.47,102.325187,102.325187,102.349998,102.325187,
2019-11-01,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,1034.82,102.320415,102.320415,102.320415,102.320415,
2019-11-01,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,56394.49,102.31999499999999,102.294779,102.326667,102.294779,
2019-11-05,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,16608.44,102.059973,102.059973,102.06636999999999,102.06636999999999,
2019-11-06,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,2087.32,102.34020500000001,102.335264,102.34020500000001,102.335264,
2019-11-07,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,1561.45,102.36019399999999,102.359723,102.37668000000001,102.359723,
2019-11-08,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,15803.03,102.349988,102.349988,102.350059,102.350059,
2019-11-12,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,39497.59,102.159941,102.131536,102.163492,102.160057,
2019-11-13,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,74444.46,102.38000799999999,102.356359,102.38000799999999,102.356359,
2019-11-14,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,54090.7,102.590967,102.58986800000001,102.593038,102.58986800000001,
2019-11-15,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,32412.06,102.369925,102.350899,102.370162,102.36999499999999,
2019-11-18,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,42204.98,102.348736,102.32956999999999,102.348736,102.32956999999999,
2019-11-19,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,33057.26,102.059849,102.05972,102.070474,102.05972,
2019-11-20,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,801.52,102.23048100000001,102.22811899999999,102.231308,102.22811899999999,
2019-11-21,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,845.66,102.177995,102.149185,102.177995,102.149185,
2019-11-22,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,29657.11,102.08495699999999,102.063676,102.08495699999999,102.070017,
2019-11-25,RPEU,ВТБ Б-1-8,RU000A0ZZH84,6,13684.67,102.318421,102.318421,102.331163,102.330004,
2019-11-26,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,20428.58,102.808339,102.787084,102.809998,102.787084,
2019-11-27,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,2918.49,102.899974,102.899974,102.899974,102.899974,
2019-11-27,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,29910.21,102.88640699999999,102.88640699999999,102.899991,102.899991,
2019-11-28,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,2916.82,102.730109,102.730109,102.730109,102.730109,
2019-11-29,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,29924.17,102.624901,102.624901,102.629995,102.629995,
2019-12-02,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,998.02,102.040313,102.040313,102.040313,102.040313,
2019-12-02,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,29904.18,102.039427,102.018066,102.040025,102.039955,
2019-12-03,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,29653.09,102.411423,102.409993,102.411423,102.409993,
2019-12-04,RPEO,ВТБ Б-1-8,RU000A0ZZH84,1,14.42,102.469674,102.469674,102.469674,102.469674,
2019-12-04,RPEU,ВТБ Б-1-8,RU000A0ZZH84,3,69687.17,102.49588,102.47000600000001,102.49588,102.470025,
2019-12-05,RPEU,ВТБ Б-1-8,RU000A0ZZH84,4,69680.61,102.39070600000001,102.36,102.39070600000001,102.36,
2019-12-06,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,59362.9,102.675922,102.660007,102.675922,102.660007,
2019-12-09,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,59335.45,102.84999599999999,102.84999599999999,102.84999599999999,102.84999599999999,
2019-12-10,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,59332.81,101.829995,101.829995,101.829995,101.829995,
2019-12-11,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,59320.86,102.210003,102.210003,102.210003,102.210003,
2019-12-12,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,59318.64,102.490001,102.490001,102.490001,102.490001,
2019-12-13,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,59308.23,102.649996,102.649996,102.649996,102.649996,
2019-12-16,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,59344.24,102.683048,102.683048,102.689999,102.689999,
2019-12-17,RPEU,ВТБ Б-1-8,RU000A0ZZH84,2,38908.19,102.81496700000001,102.81496700000001,102.830011,102.830011,
2019-12-18,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,38633.56,102.88999,102.88999,102.88999,102.88999,
2019-12-19,RPEU,ВТБ Б-1-8,RU000A0ZZH84,5,61998.91,102.9492,102.917908,102.9492,102.917908,
2019-12-20,RPEU,ВТБ Б-1-8,RU000A0ZZH84,1,16.46,102.921582,102.921582,102.921582,102.921582,
